,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,1270214.6670299887,Total das Atividades,Brasil,
58,2003,1270214.6670299887,1285796.4390000042,1470717.2340300013,Total das Atividades,Brasil,0.01226703830026521
59,2004,1470717.2340300013,1553911.220999993,1661982.123049989,Total das Atividades,Brasil,0.056566949135441025
60,2005,1661982.123049989,1712074.2469999935,1842818.4019999993,Total das Atividades,Brasil,0.030139989627612662
61,2006,1842818.4019999993,1910748.6639999878,2049289.978,Total das Atividades,Brasil,0.036862157403173335
62,2007,2049289.978,2168132.571950007,2319528.2809700076,Total das Atividades,Brasil,0.05799208273393863
63,2008,2319528.2809700076,2428003.4799899976,2626477.716000016,Total das Atividades,Brasil,0.04676606011228568
64,2009,2626477.716000016,2623933.8669999973,2849762.8219800033,Total das Atividades,Brasil,-0.000968540103927773
65,2010,2849762.8219800033,3048567.61739,3302840.0000000014,Total das Atividades,Brasil,0.06976187417304702
66,2011,3302840.0000000014,3426470.0000000065,3720461.000000001,Total das Atividades,Brasil,0.037431422654444324
67,2012,3720461.000000001,3780432.0000000047,4094259.000000001,Total das Atividades,Brasil,0.01611923898678258
68,2013,4094259.000000001,4211999.999999996,4553759.999999998,Total das Atividades,Brasil,0.028757584705802808
69,2014,4553759.999999998,4574753.0,4972734.000000001,Total das Atividades,Brasil,0.004610036541232265
70,2015,4972734.000000001,4816089.000000001,5155601.000000002,Total das Atividades,Brasil,-0.03150078005378931
71,2016,5155601.000000002,5006080.999999999,5419822.000000003,Total das Atividades,Brasil,-0.029001468499987193
72,2017,5419822.000000003,5487797.999999998,5671925.999999998,Total das Atividades,Brasil,0.012542109316504346
73,2018,5671925.999999998,5771531.999999998,6011150.000000004,Total das Atividades,Brasil,0.017561230523811533
74,2019,6011150.000000004,6069992.000000005,6356684.000000006,Total das Atividades,Brasil,0.009788809129700704
75,2020,6356684.000000006,6154281.999999997,6594937.0,Total das Atividades,Brasil,-0.0318408151168138
76,2021,6594937.0,6894277.999999996,7713998.999999994,Total das Atividades,Brasil,0.04538951623040477
