,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,527.35809347683,Indústrias extrativas,São Paulo,
58,2003,527.35809347683,496.72307641295004,488.68251904726003,Indústrias extrativas,São Paulo,-0.058091489336791535
59,2004,488.68251904726003,437.53046619070994,725.9476069883001,Indústrias extrativas,São Paulo,-0.10467338376718816
60,2005,725.9476069883001,818.2541503013,778.8694305632999,Indústrias extrativas,São Paulo,0.12715317527658376
61,2006,778.8694305632999,798.2710695006001,848.3618157633002,Indústrias extrativas,São Paulo,0.024910001825682482
62,2007,848.3618157633002,903.0679241438003,687.9525892623999,Indústrias extrativas,São Paulo,0.06448440672837097
63,2008,687.9525892623999,659.2822231490999,1097.0075998275997,Indústrias extrativas,São Paulo,-0.04167491562760084
64,2009,1097.0075998275997,1167.4050541670001,1228.1061923128,Indústrias extrativas,São Paulo,0.06417225764932133
65,2010,1228.1061923128,1429.4860482929998,1855.3644601436501,Indústrias extrativas,São Paulo,0.16397593077920747
66,2011,1855.3644601436501,2783.75208646135,3871.52759219289,Indústrias extrativas,São Paulo,0.5003801928198086
67,2012,3871.52759219289,4132.79508240209,4809.013397491949,Indústrias extrativas,São Paulo,0.06748434151316851
68,2013,4809.013397491949,7141.24945256707,7271.653491622339,Indústrias extrativas,São Paulo,0.4849718356558239
69,2014,7271.653491622339,13916.666718287652,11095.973580531552,Indústrias extrativas,São Paulo,0.9138242401567982
70,2015,11095.973580531552,15458.22567109792,8630.162728015752,Indústrias extrativas,São Paulo,0.39313829101217035
71,2016,8630.162728015752,9534.88611273722,3513.1377108175507,Indústrias extrativas,São Paulo,0.10483271442663544
72,2017,3513.1377108175507,3596.5406113658887,6250.08611797929,Indústrias extrativas,São Paulo,0.02374028786048621
73,2018,6250.08611797929,6070.758841661968,13741.655359785229,Indústrias extrativas,São Paulo,-0.02869196886767056
74,2019,13741.655359785229,12964.45447842533,13813.111287488382,Indústrias extrativas,São Paulo,-0.05655802456190007
75,2020,13813.111287488382,12807.71774536119,10012.716103524059,Indústrias extrativas,São Paulo,-0.07278545153240434
76,2021,10012.716103524059,10308.572600645917,23507.42074783704,Indústrias extrativas,São Paulo,0.029548076072758
