,2002-2021,2002-2008,2009-2014,2015-2021
Maranhão,0.032430181303014415,0.05327722221815123,0.043658395211949884,0.01214348735040044
Piauí,0.032929492455702494,0.05535600281987426,0.04244783043806014,0.008341933989054806
Ceará,0.023021744797031053,0.04489307175170798,0.03249933423117938,0.0007763129270022909
Rio Grande do Norte,0.016295116827011142,0.030193562754947667,0.02472335053832316,5.7692435987595957e-05
Paraíba,0.02643771907041633,0.040403547367129256,0.04593370544097397,0.001294157435024886
Pernambuco,0.019135038069675963,0.0337761221905411,0.033746070439165554,0.0008992586276161766
Alagoas,0.023150918789494403,0.03646154072188033,0.02807509544986342,0.013083214053632311
Sergipe,0.020482817048637133,0.04298298989657934,0.028537028041166795,-0.0012464994220481678
Bahia,0.017875239135525998,0.04617998107718505,0.021914368889948577,-0.006535809460115653
Rondônia,0.031786363128610065,0.04830897258539887,0.048882398769045245,0.009002757330714409
Minas Gerais,0.01781100399768161,0.041791623884581984,0.016265808097484607,0.005043672123288601
Espírito Santo,0.024145523461002415,0.056191471820165116,0.032021452224530976,-0.008735050886906218
Rio de Janeiro,0.011926386973279366,0.024766930891705435,0.021274925267013172,-0.004436450708787121
São Paulo,0.019556564772403837,0.04359401280847162,0.0217496473693999,0.0026003697822722014
Paraná,0.01963502709107598,0.03682147495759269,0.02549413266855601,0.004910888918742917
Santa catarina,0.024091781189013672,0.03541095681672605,0.025699772387962172,0.02140901600151011
Rio Grande do Sul,0.01639395358034531,0.02571842418314968,0.02551137411420451,0.007569120590521024
Mato Grosso do Sul,0.029831229466746278,0.03654948106696513,0.04966748090941649,0.008525773310615862
Acre,0.03021233486683703,0.056297545445206966,0.04209410414943512,0.0002793587893931508
Mato Grosso,0.04442399951424587,0.0684286437145839,0.05170477759898473,0.023518156954682973
Goiás,0.027869832161672867,0.04782278105057314,0.039694298044576394,0.0075615155005691785
Distrito Federal,0.025614639518651162,0.0442556692030445,0.030852503423860034,0.006980053151586618
Brasil,0.02048655241052257,0.04009904621878609,0.025951936159563538,0.004073230263936726
Amazonas,0.032341083815393024,0.05471675569238066,0.03984495928037407,0.015201603260292887
Roraima,0.04055993757446194,0.04844582328991737,0.04713921963630822,0.03391128309426757
Pará,0.028093280981313595,0.05325262705544206,0.03133949397109322,0.005462298291330436
Amapá,0.031923047030874764,0.056875039666073546,0.04786569185273367,0.0051693094268776925
Tocantins,0.0452028779964722,0.05434444750799653,0.06718834727208996,0.02234686507110521
Média,0.026413967948762596,0.04507839712733228,0.03577131724880368,0.007227195849578969
